InvoiceNo,InvoiceDate,CustomerID,CustomerSince,Country,PaymentMethod,Channel,StockCode,Description,Category,SubCategory,Quantity,UnitPrice,DiscountPct,PromoCode,TotalAmount
INV100479,2023-01-16 19:03:37,C1193,2018-03-27,United Kingdom,Bank Transfer,Online,P014,Smart Speaker,Electronics,Audio,2,102.93,0.1,,185.27400000000003
INV100110,2023-07-28 22:06:58,C1122,2020-12-27,United Kingdom,Debit Card,Online,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.0,,28.2
INV100989,2024-10-04 07:28:07,C1337,2018-08-19,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,4,112.27,0.15,WELCOME5,381.71799999999996
INV100486,2024-08-07 22:56:24,C1028,2018-03-26,Spain,Credit Card,Online,P012,Pen Set,Office Supplies,Stationery,2,88.22,0.0,,176.44
INV100363,2024-08-26 05:33:09,C1374,2018-05-03,United States,Credit Card,Online,P005,Office Chair,Furniture,Seating,1,42.19,0.1,,37.971
INV100254,2023-03-28 01:44:04,C1274,2022-03-06,United Kingdom,Cash,Online,P004,Notebook,Office Supplies,Stationery,1,32.42,0.0,,32.42
INV100259,2023-08-19 05:33:30,C1312,2021-04-19,Germany,PayPal,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.05,,227.544
INV100802,2023-07-05 06:11:12,C1155,2021-02-17,United Kingdom,PayPal,Offline,P004,Notebook,Office Supplies,Stationery,1,32.42,0.0,,32.42
INV100677,2022-09-09 05:14:21,C1397,2018-05-21,India,Credit Card,Online,P005,Office Chair,Furniture,Seating,1,42.19,0.0,,42.19
INV100494,2024-07-21 19:36:45,C1386,2023-06-05,Spain,Debit Card,Online,P014,Smart Speaker,Electronics,Audio,4,102.93,0.0,,411.72
INV100670,2023-09-22 12:21:17,C1022,2019-09-08,United States,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,5,145.37,0.0,VIP15,726.85
INV100377,2024-03-25 12:47:16,C1124,2019-03-22,United Kingdom,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,1,27.94,0.1,,25.146
INV100526,2023-06-28 00:11:11,C1379,2022-01-25,United Kingdom,Debit Card,Offline,P013,Backpack,Accessories,Bags,2,96.99,0.0,,193.98
INV100845,2024-04-26 02:33:01,C1189,2019-11-16,United Kingdom,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,4,145.37,0.2,,465.184
INV100137,2022-04-07 04:40:07,C1218,2020-01-29,Australia,Credit Card,Online,P012,Pen Set,Office Supplies,Stationery,1,88.22,0.0,NEW10,88.22
INV100355,2024-05-17 09:39:19,C1225,2018-03-07,United Kingdom,Credit Card,Offline,P020,HDMI Cable,Electronics,Accessories,6,145.37,0.0,NEW10,872.22
INV100365,2024-08-09 13:33:04,C1154,2019-01-10,United Kingdom,Debit Card,Offline,P012,Pen Set,Office Supplies,Stationery,4,88.22,0.05,,335.236
INV100942,2023-05-21 21:40:21,C1198,2018-10-14,United Kingdom,PayPal,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.05,SUMMER20,92.397
INV100749,2023-08-16 01:16:11,C1114,2021-01-04,United Kingdom,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,4,27.94,0.0,NEW10,111.76
INV100948,2024-04-28 14:55:35,C1248,2020-05-06,United Kingdom,PayPal,Online,P010,Monitor 24in,Electronics,Displays,6,73.71,0.1,,398.034
INV100829,2024-05-28 09:14:33,C1185,2022-06-12,United Kingdom,PayPal,Online,P011,Desk Lamp,Home,Lighting,3,83.71,0.0,NEW10,251.13
INV100656,2023-09-21 08:25:07,C1230,2021-05-11,Germany,Bank Transfer,Offline,P014,Smart Speaker,Electronics,Audio,2,102.93,0.0,,205.86
INV100199,2024-11-07 03:17:18,C1279,2019-02-18,United States,Bank Transfer,Online,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.0,,410.90999999999997
INV100213,2022-05-10 04:07:30,C1395,2018-09-02,United States,Debit Card,Online,P018,Mouse Pad,Accessories,Accessories,3,130.35,0.05,,371.49749999999995
INV100408,2022-09-15 07:26:50,C1127,2021-02-08,United Kingdom,Cash,Online,P016,Coffee Mug,Home,Kitchen,3,119.76,0.1,,323.35200000000003
INV100332,2023-06-18 00:35:39,C1383,2019-10-08,United Kingdom,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,4,21.12,0.1,,76.03200000000001
INV100208,2024-01-09 20:15:48,C1082,2019-06-06,United Kingdom,PayPal,Offline,P007,Headphones,Electronics,Audio,2,53.87,0.0,NEW10,107.74
INV100613,2022-06-02 17:10:39,C1286,2022-01-11,United Kingdom,Cash,Online,P002,USB-C Cable,Electronics,Accessories,3,21.12,0.2,,50.688
INV100078,2023-10-08 01:37:01,C1345,2021-04-22,France,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,1,14.1,0.0,,14.1
INV100029,2024-07-12 07:47:53,C1239,2020-05-29,United States,Credit Card,Online,P019,Planner 2024,Office Supplies,Stationery,1,136.97,0.15,,116.4245
INV100535,2022-04-09 17:10:07,C1298,2019-06-03,United Kingdom,Credit Card,Online,P007,Headphones,Electronics,Audio,4,53.87,0.0,,215.48
INV100695,2022-01-05 03:54:05,C1047,2018-03-04,United Kingdom,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.1,VIP15,215.568
INV100557,2022-01-03 06:15:25,C1380,2021-01-27,France,Credit Card,Offline,P005,Office Chair,Furniture,Seating,4,42.19,0.0,,168.76
INV100836,2023-01-28 12:42:08,C1219,2020-02-23,Spain,Credit Card,Offline,P018,Mouse Pad,Accessories,Accessories,6,130.35,0.0,,782.0999999999999
INV100596,2022-04-11 16:20:34,C1055,2022-01-13,United Kingdom,Debit Card,Online,P019,Planner 2024,Office Supplies,Stationery,4,136.97,0.0,,547.88
INV100165,2024-01-08 03:17:48,C1302,2022-07-27,United Kingdom,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,5,21.12,0.0,,105.60000000000001
INV100918,2022-10-21 12:29:04,C1124,2019-02-09,Germany,Credit Card,Offline,P005,Office Chair,Furniture,Seating,1,42.19,0.0,,42.19
INV100495,2022-01-15 21:29:50,C1137,2019-02-18,United Kingdom,Credit Card,Offline,P005,Office Chair,Furniture,Seating,2,42.19,0.0,,84.38
INV100824,2022-04-22 00:22:55,C1309,2020-12-31,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.2,VIP15,179.632
INV100065,2022-05-21 13:46:20,C1115,2018-09-01,United Kingdom,Credit Card,Online,P014,Smart Speaker,Electronics,Audio,1,102.93,0.0,,102.93
INV100141,2023-06-07 19:02:00,C1227,2018-09-11,India,Cash,Offline,P007,Headphones,Electronics,Audio,4,53.87,0.05,,204.706
INV100925,2023-07-05 11:50:19,C1062,2019-05-18,France,Credit Card,Offline,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.0,,28.2
INV100827,2022-04-16 06:34:47,C1103,2018-08-11,United Kingdom,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.0,,143.13
INV100655,2022-10-05 21:28:54,C1353,2019-12-15,United States,Credit Card,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.0,,126.57
INV100331,2022-07-21 07:52:52,C1376,2020-07-21,United Kingdom,PayPal,Online,P015,Tablet 10in,Electronics,Computing,3,112.27,0.0,,336.81
INV100664,2024-11-03 04:56:05,C1132,2022-03-15,Germany,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,4,130.35,0.0,SUMMER20,521.4
INV100249,2023-07-31 18:13:24,C1362,2020-08-20,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,1,130.35,0.0,VIP15,130.35
INV100907,2022-01-03 15:19:41,C1140,2020-09-14,India,PayPal,Online,P008,Webcam,Electronics,Accessories,7,62.13,0.0,VIP15,434.91
INV100708,2023-11-22 23:43:25,C1042,2018-05-13,United Kingdom,Credit Card,Offline,P018,Mouse Pad,Accessories,Accessories,2,130.35,0.0,,260.7
INV100305,2024-07-25 10:02:20,C1045,2021-03-09,France,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,1,112.27,0.2,NEW10,89.816
INV100734,2022-07-09 14:55:39,C1165,2019-11-05,United Kingdom,Credit Card,Online,P014,Smart Speaker,Electronics,Audio,5,102.93,0.0,,514.6500000000001
INV100975,2022-09-18 23:29:38,C1245,2018-03-13,France,Debit Card,Offline,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.0,,410.90999999999997
INV100049,2024-10-24 08:23:47,C1104,2018-09-06,India,Cash,Online,P018,Mouse Pad,Accessories,Accessories,4,130.35,0.2,,417.12
INV100896,2022-11-02 08:51:55,C1200,2018-02-03,India,Bank Transfer,Online,P014,Smart Speaker,Electronics,Audio,4,102.93,0.0,,411.72
INV100002,2024-12-25 04:50:39,C1140,2023-02-18,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,6,112.27,0.15,WELCOME5,572.577
INV100544,2024-03-28 00:18:08,C1271,2018-01-09,United Kingdom,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,11,14.1,0.15,WELCOME5,131.83499999999998
INV100350,2024-05-07 18:00:13,C1342,2018-06-22,United States,Debit Card,Online,P013,Backpack,Accessories,Bags,3,96.99,0.15,,247.32449999999997
INV100904,2022-04-09 06:09:50,C1032,2018-06-10,France,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.0,,55.88
INV100536,2022-10-24 18:14:52,C1166,2020-12-09,United Kingdom,PayPal,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.0,NEW10,55.88
INV100344,2024-07-22 00:58:56,C1155,2020-09-24,United States,Credit Card,Offline,P012,Pen Set,Office Supplies,Stationery,1,88.22,0.2,,70.57600000000001
INV100994,2023-07-06 01:26:33,C1320,2018-10-05,United States,Cash,Offline,P009,External HDD,Electronics,Storage,4,66.06,0.05,,251.028
INV100481,2024-01-15 13:41:03,C1237,2021-01-20,United Kingdom,PayPal,Offline,P019,Planner 2024,Office Supplies,Stationery,5,136.97,0.0,,684.85
INV100575,2022-11-21 06:21:45,C1175,2019-03-17,India,Credit Card,Online,P008,Webcam,Electronics,Accessories,3,62.13,0.0,,186.39000000000001
INV100033,2023-11-02 00:24:00,C1368,2018-12-29,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,3,130.35,0.2,,312.84
INV100031,2024-03-10 11:45:24,C1361,2021-02-08,United Kingdom,PayPal,Online,P009,External HDD,Electronics,Storage,4,66.06,0.05,NEW10,251.028
INV100231,2024-11-27 17:37:58,C1193,2021-03-02,United Kingdom,Credit Card,Offline,P016,Coffee Mug,Home,Kitchen,3,119.76,0.1,,323.35200000000003
INV100963,2023-07-06 00:19:27,C1280,2020-05-27,United Kingdom,Debit Card,Offline,P011,Desk Lamp,Home,Lighting,3,83.71,0.0,SUMMER20,251.13
INV100192,2024-05-06 21:16:33,C1233,2020-09-09,United States,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,3,14.1,0.2,,33.839999999999996
INV100333,2022-09-30 09:47:21,C1333,2019-02-05,United Kingdom,Bank Transfer,Online,P002,USB-C Cable,Electronics,Accessories,2,21.12,0.0,,42.24
INV100003,2022-10-10 02:43:29,C1155,2018-12-17,United States,PayPal,Online,P011,Desk Lamp,Home,Lighting,2,83.71,0.0,,167.42
INV100204,2024-06-03 17:41:52,C1227,2022-04-29,United Kingdom,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,2,145.37,0.0,,290.74
INV100514,2024-08-31 03:51:18,C1307,2020-12-18,United Kingdom,Bank Transfer,Offline,P002,USB-C Cable,Electronics,Accessories,4,21.12,0.0,,84.48
INV100799,2023-02-17 23:09:29,C1095,2020-06-21,Australia,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,2,21.12,0.0,,42.24
INV100306,2022-12-05 22:28:53,C1143,2018-11-16,United Kingdom,Debit Card,Online,P002,USB-C Cable,Electronics,Accessories,1,21.12,0.0,,21.12
INV100109,2023-03-13 00:09:48,C1286,2019-05-19,United Kingdom,Cash,Online,P003,Laptop Stand,Electronics,Accessories,5,27.94,0.05,,132.715
INV100430,2024-04-01 07:27:25,C1056,2023-05-18,United Kingdom,PayPal,Online,P014,Smart Speaker,Electronics,Audio,3,102.93,0.0,,308.79
INV100077,2023-04-23 14:15:25,C1381,2019-06-07,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,1,66.06,0.0,WELCOME5,66.06
INV100084,2024-08-03 07:24:40,C1331,2020-01-30,United States,PayPal,Offline,P008,Webcam,Electronics,Accessories,7,62.13,0.0,,434.91
INV100286,2022-01-22 01:30:00,C1152,2020-10-18,Spain,Debit Card,Online,P012,Pen Set,Office Supplies,Stationery,1,88.22,0.0,NEW10,88.22
INV100082,2022-01-16 08:38:56,C1183,2018-02-16,United Kingdom,Debit Card,Online,P019,Planner 2024,Office Supplies,Stationery,1,136.97,0.05,,130.1215
INV100991,2024-09-19 12:59:53,C1009,2020-09-09,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,2,66.06,0.15,WELCOME5,112.302
INV100789,2023-11-14 03:12:59,C1155,2018-01-14,United Kingdom,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.1,WELCOME5,215.568
INV100894,2023-09-13 15:35:20,C1204,2020-02-15,United States,Debit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.0,VIP15,224.54
INV100398,2022-11-27 00:53:51,C1291,2019-07-15,Germany,Bank Transfer,Online,P004,Notebook,Office Supplies,Stationery,2,32.42,0.0,,64.84
INV100323,2022-04-12 12:46:24,C1045,2019-03-03,United Kingdom,Credit Card,Offline,P020,HDMI Cable,Electronics,Accessories,1,145.37,0.0,,145.37
INV100519,2022-02-22 22:45:52,C1109,2018-08-22,United States,Credit Card,Offline,P008,Webcam,Electronics,Accessories,2,62.13,0.15,,105.621
INV100916,2024-01-29 05:50:40,C1243,2021-03-18,United Kingdom,Debit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.0,SUMMER20,143.13
INV100922,2023-02-20 01:08:00,C1333,2019-09-17,United Kingdom,Debit Card,Online,P010,Monitor 24in,Electronics,Displays,4,73.71,0.0,SUMMER20,294.84
INV100005,2024-06-19 21:39:58,C1344,2019-09-29,United Kingdom,Debit Card,Online,P007,Headphones,Electronics,Audio,2,53.87,0.1,,96.966
INV100731,2023-11-18 00:41:28,C1324,2019-06-03,United Kingdom,Credit Card,Offline,P020,HDMI Cable,Electronics,Accessories,4,145.37,0.0,,581.48
INV100465,2024-05-09 11:41:51,C1381,2020-04-16,United States,Credit Card,Online,P017,Standing Desk,Furniture,Desks,3,126.42,0.1,,341.334
INV100097,2022-02-14 12:17:35,C1378,2019-09-23,United Kingdom,PayPal,Online,P001,Wireless Mouse,Electronics,Accessories,5,14.1,0.25,,52.875
INV100266,2022-03-30 21:02:19,C1126,2020-04-01,United Kingdom,Debit Card,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.0,,239.52
INV100357,2024-02-27 13:08:25,C1329,2018-07-02,Germany,PayPal,Online,P013,Backpack,Accessories,Bags,2,96.99,0.15,NEW10,164.88299999999998
INV100868,2023-06-25 10:53:08,C1138,2019-06-29,United Kingdom,Credit Card,Online,P008,Webcam,Electronics,Accessories,4,62.13,0.05,,236.094
INV100798,2022-07-20 13:37:07,C1229,2019-11-22,United Kingdom,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.15,,121.6605
INV100380,2024-07-20 08:18:02,C1050,2018-08-27,United States,PayPal,Online,P019,Planner 2024,Office Supplies,Stationery,2,136.97,0.15,,232.849
INV100631,2024-12-29 12:59:33,C1103,2018-07-22,Germany,Credit Card,Online,P009,External HDD,Electronics,Storage,3,66.06,0.0,,198.18
INV100381,2022-02-08 17:54:29,C1215,2019-03-24,Germany,Credit Card,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.2,,101.256
INV100490,2024-07-14 01:25:01,C1053,2020-08-06,United States,Bank Transfer,Online,P007,Headphones,Electronics,Audio,3,53.87,0.0,NEW10,161.60999999999999
INV100118,2023-10-19 11:39:19,C1045,2018-06-22,United Kingdom,Debit Card,Online,P013,Backpack,Accessories,Bags,2,96.99,0.0,,193.98
INV100900,2024-03-02 12:11:09,C1367,2022-05-25,Spain,PayPal,Online,P007,Headphones,Electronics,Audio,6,53.87,0.05,,307.05899999999997
INV100250,2024-02-20 04:38:09,C1156,2022-12-27,India,Debit Card,Online,P002,USB-C Cable,Electronics,Accessories,3,21.12,0.0,VIP15,63.36
INV100523,2023-12-03 18:52:19,C1339,2018-09-08,United States,Credit Card,Offline,P020,HDMI Cable,Electronics,Accessories,4,145.37,0.0,,581.48
INV100009,2024-10-22 23:37:00,C1326,2018-02-21,United Kingdom,Debit Card,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.2,WELCOME5,77.808
INV100196,2024-11-10 02:55:30,C1326,2018-03-09,Australia,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,3,27.94,0.0,WELCOME5,83.82000000000001
INV100603,2024-07-28 11:07:36,C1190,2020-06-16,United Kingdom,Debit Card,Offline,P005,Office Chair,Furniture,Seating,3,42.19,0.05,,120.24149999999999
INV100081,2024-02-22 13:53:43,C1393,2020-07-18,Germany,Debit Card,Online,P011,Desk Lamp,Home,Lighting,3,83.71,0.0,NEW10,251.13
INV100783,2022-11-24 06:27:09,C1012,2020-04-06,United Kingdom,Credit Card,Online,P013,Backpack,Accessories,Bags,2,96.99,0.0,SUMMER20,193.98
INV100587,2024-11-27 10:53:39,C1187,2020-03-28,United Kingdom,PayPal,Online,P001,Wireless Mouse,Electronics,Accessories,6,14.1,0.1,,76.14
INV100797,2022-06-11 22:34:51,C1111,2018-03-08,United Kingdom,PayPal,Offline,P004,Notebook,Office Supplies,Stationery,4,32.42,0.0,,129.68
INV100239,2023-08-05 17:53:50,C1391,2020-12-06,United Kingdom,Credit Card,Online,P008,Webcam,Electronics,Accessories,2,62.13,0.0,,124.26
INV100290,2022-08-28 02:42:29,C1259,2020-04-22,United States,Credit Card,Online,P009,External HDD,Electronics,Storage,3,66.06,0.05,NEW10,188.271
INV100211,2022-01-23 18:15:40,C1079,2019-01-27,United Kingdom,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,3,14.1,0.2,SUMMER20,33.839999999999996
INV100717,2022-01-21 03:26:48,C1031,2019-03-03,United States,Credit Card,Offline,P017,Standing Desk,Furniture,Desks,3,126.42,0.05,,360.29699999999997
INV100359,2022-04-21 09:26:17,C1379,2018-09-18,United States,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,3,73.71,0.25,NEW10,165.8475
INV100449,2023-02-16 19:41:35,C1289,2022-04-15,United Kingdom,Debit Card,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.15,,107.58449999999999
INV100227,2022-05-10 09:38:09,C1358,2018-09-28,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,1,66.06,0.0,NEW10,66.06
INV100950,2023-08-16 19:17:33,C1074,2021-10-19,United Kingdom,Debit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,4,47.71,0.0,,190.84
INV100946,2023-12-29 10:51:57,C1063,2018-06-19,United Kingdom,Debit Card,Online,P020,HDMI Cable,Electronics,Accessories,3,145.37,0.3,NEW10,305.277
INV100796,2023-08-17 23:14:13,C1296,2018-08-06,United Kingdom,Credit Card,Offline,P005,Office Chair,Furniture,Seating,2,42.19,0.0,,84.38
INV100501,2022-09-16 03:26:42,C1287,2020-07-27,United States,Credit Card,Online,P012,Pen Set,Office Supplies,Stationery,2,88.22,0.1,,158.796
INV100464,2023-07-13 21:48:45,C1285,2019-11-26,Germany,Debit Card,Offline,P009,External HDD,Electronics,Storage,3,66.06,0.0,,198.18
INV100362,2023-01-19 14:48:47,C1042,2019-09-19,United Kingdom,PayPal,Online,P019,Planner 2024,Office Supplies,Stationery,4,136.97,0.0,NEW10,547.88
INV100468,2023-08-23 21:22:14,C1269,2019-03-13,United Kingdom,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,4,119.76,0.15,,407.184
INV100935,2023-09-02 21:24:17,C1091,2018-06-01,United Kingdom,Credit Card,Offline,P015,Tablet 10in,Electronics,Computing,2,112.27,0.0,,224.54
INV100428,2024-10-19 03:08:43,C1137,2022-05-09,United States,Debit Card,Online,P013,Backpack,Accessories,Bags,3,96.99,0.0,,290.96999999999997
INV100007,2022-12-28 14:08:28,C1098,2020-06-03,United Kingdom,PayPal,Online,P011,Desk Lamp,Home,Lighting,3,83.71,0.15,,213.4605
INV100155,2022-03-03 06:08:07,C1359,2019-03-21,United Kingdom,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,1,73.71,0.2,,58.967999999999996
INV100541,2022-11-29 17:11:54,C1125,2018-10-21,United Kingdom,Credit Card,Online,P008,Webcam,Electronics,Accessories,3,62.13,0.2,,149.11200000000002
INV100440,2024-08-15 05:17:49,C1083,2023-01-24,Germany,Credit Card,Online,P009,External HDD,Electronics,Storage,4,66.06,0.25,,198.18
INV100482,2023-10-31 22:37:00,C1320,2020-08-25,Germany,PayPal,Online,P015,Tablet 10in,Electronics,Computing,3,112.27,0.15,,286.2885
INV100422,2022-05-10 22:53:40,C1318,2020-02-03,United Kingdom,Credit Card,Offline,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.15,,23.97
INV100778,2024-12-26 19:12:46,C1158,2019-04-19,United Kingdom,PayPal,Online,P009,External HDD,Electronics,Storage,4,66.06,0.0,,264.24
INV100949,2023-10-27 20:23:14,C1245,2021-03-08,United States,Credit Card,Online,P008,Webcam,Electronics,Accessories,2,62.13,0.0,,124.26
INV100334,2022-11-03 03:16:22,C1151,2018-12-15,United Kingdom,Credit Card,Offline,P019,Planner 2024,Office Supplies,Stationery,4,136.97,0.0,,547.88
INV100576,2023-04-19 23:58:37,C1032,2020-10-07,Germany,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,1,47.71,0.15,SUMMER20,40.5535
INV100934,2022-01-12 02:11:39,C1254,2019-04-13,United States,Bank Transfer,Online,P005,Office Chair,Furniture,Seating,4,42.19,0.0,,168.76
INV100567,2022-11-30 14:54:23,C1131,2018-11-07,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.05,,213.313
INV100594,2022-09-02 09:47:22,C1214,2018-03-04,United Kingdom,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,11,47.71,0.05,,498.5695
INV100530,2023-04-03 07:25:55,C1104,2018-10-31,United States,PayPal,Offline,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.0,,410.90999999999997
INV100581,2023-04-23 03:05:53,C1124,2018-06-04,United States,Credit Card,Offline,P018,Mouse Pad,Accessories,Accessories,2,130.35,0.0,,260.7
INV100707,2022-04-02 18:28:49,C1289,2018-07-20,United Kingdom,PayPal,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.0,SUMMER20,126.57
INV100448,2022-01-11 01:48:26,C1064,2018-01-29,United Kingdom,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,4,73.71,0.25,,221.13
INV100453,2023-01-21 16:56:05,C1212,2019-07-06,United States,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,3,27.94,0.0,,83.82000000000001
INV100228,2024-05-18 05:17:31,C1195,2019-05-09,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,2,66.06,0.0,,132.12
INV100352,2022-05-06 06:07:42,C1202,2018-02-08,France,Credit Card,Offline,P015,Tablet 10in,Electronics,Computing,13,112.27,0.0,,1459.51
INV100728,2024-09-02 19:31:35,C1007,2021-03-25,United Kingdom,PayPal,Offline,P008,Webcam,Electronics,Accessories,3,62.13,0.15,,158.4315
INV100212,2022-02-16 20:45:05,C1352,2018-11-30,United States,Debit Card,Online,P011,Desk Lamp,Home,Lighting,13,83.71,0.1,,979.407
INV100079,2024-06-29 04:15:21,C1243,2019-06-10,United Kingdom,Credit Card,Online,P012,Pen Set,Office Supplies,Stationery,7,88.22,0.05,,586.6629999999999
INV100148,2022-12-24 01:42:07,C1378,2022-03-12,United Kingdom,PayPal,Online,P007,Headphones,Electronics,Audio,3,53.87,0.0,,161.60999999999999
INV100302,2022-06-01 17:42:57,C1227,2018-02-22,India,Credit Card,Online,P008,Webcam,Electronics,Accessories,4,62.13,0.1,,223.668
INV100628,2024-11-03 09:31:05,C1207,2020-07-05,United States,Credit Card,Online,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.1,VIP15,369.81899999999996
INV100777,2022-08-30 12:47:57,C1018,2020-05-15,United States,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,2,73.71,0.25,,110.565
INV100506,2022-09-25 10:48:09,C1252,2021-09-29,India,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,2,47.71,0.0,,95.42
INV100342,2024-03-04 20:04:26,C1190,2022-06-05,United Kingdom,PayPal,Offline,P001,Wireless Mouse,Electronics,Accessories,5,14.1,0.0,WELCOME5,70.5
INV100485,2024-03-30 05:06:55,C1298,2020-12-09,United States,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.05,NEW10,53.086
INV100711,2022-08-22 18:45:41,C1277,2020-12-22,United Kingdom,Bank Transfer,Online,P001,Wireless Mouse,Electronics,Accessories,4,14.1,0.25,,42.3
INV100133,2022-03-31 15:31:26,C1354,2020-05-22,Spain,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,1,21.12,0.0,,21.12
INV100703,2024-09-26 04:15:23,C1280,2022-02-23,United States,PayPal,Online,P003,Laptop Stand,Electronics,Accessories,4,27.94,0.05,WELCOME5,106.172
INV100311,2023-09-01 14:00:50,C1219,2022-03-12,United Kingdom,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,1,14.1,0.05,WELCOME5,13.395
INV100722,2024-12-13 08:39:33,C1244,2023-05-22,United Kingdom,PayPal,Offline,P015,Tablet 10in,Electronics,Computing,2,112.27,0.0,,224.54
INV100629,2022-05-17 12:36:38,C1203,2018-08-29,United Kingdom,Credit Card,Online,P017,Standing Desk,Furniture,Desks,3,126.42,0.0,NEW10,379.26
INV100000,2022-01-09 00:37:09,C1309,2018-03-30,France,Bank Transfer,Online,P007,Headphones,Electronics,Audio,4,53.87,0.05,,204.706
INV100316,2024-05-13 02:51:30,C1352,2018-04-28,Australia,Credit Card,Offline,P010,Monitor 24in,Electronics,Displays,2,73.71,0.0,WELCOME5,147.42
INV100706,2024-01-14 05:40:59,C1214,2021-01-27,Spain,PayPal,Online,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.0,,410.90999999999997
INV100547,2024-12-23 18:39:54,C1036,2019-03-08,Australia,Bank Transfer,Online,P017,Standing Desk,Furniture,Desks,3,126.42,0.0,,379.26
INV100872,2024-07-05 20:46:01,C1003,2019-03-21,United States,Credit Card,Online,P014,Smart Speaker,Electronics,Audio,4,102.93,0.0,VIP15,411.72
INV100532,2022-05-11 01:39:15,C1145,2018-08-02,Germany,Credit Card,Online,P007,Headphones,Electronics,Audio,3,53.87,0.0,SUMMER20,161.60999999999999
INV100477,2023-06-02 17:06:33,C1151,2023-01-18,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,5,66.06,0.0,,330.3
INV100404,2022-04-19 10:17:14,C1313,2019-02-21,Australia,Credit Card,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.0,,126.57
INV100172,2024-08-01 02:31:47,C1294,2021-02-26,United States,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,4,21.12,0.0,,84.48
